rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
12,natgeo,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,91,52.53935853,10000,237000000,237,302200,0.3022,159300,0.1593,3000000000,3,0.0007,0.07,0.00127510549,0.127510549,False,73.94206541,0,0.265051117,97.18309859
13,nike,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,90,51.94664517,950,234100000,234.1,329000,0.329,181800,0.1818,313600000,0.3136,0.0008,0.08,0.00140538232,0.140538232,False,73.4817383,0.0385860176,0.302915562,95.77464789
14,taylorswift,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,91,53.17587436,530,222200000,222.2,2400000,2.4,2300000,2.3,1300000000,1.3,0.0101,1.01,0.0108010801,1.080108011,False,71.53112509,2.821448943,3.824308974,97.18309859
15,jlo,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,89,51.6637806,3200,220400000,220.4,1700000,1.7,1400000,1.4,5300000000,5.3,0.0062,0.62,0.00771324864,0.771324864,False,71.22700882,1.906880179,2.347595608,94.36619718
16,virat.kohli,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,87,51.15141433,1400,211800000,211.8,3500000,3.5,2000000,2,4900000000,4.9,0.0096,0.96,0.0165250236,1.652502361,False,69.73885715,4.516794037,3.634986747,91.54929577
17,nickiminaj,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,90,51.47240754,6400,201600000,201.6,2100000,2.1,1000000,1,13500000000,13.5,0.0053,0.53,0.0104166667,1.041666667,False,67.89344222,2.707591523,2.0068156,95.77464789
18,kourtneykardash,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,89,50.66890165,4400,195200000,195.2,1800000,1.8,1300000,1.3,7700000000,7.7,0.0067,0.67,0.00922131148,0.922131148,False,66.68723436,2.353545478,2.536917834,94.36619718
19,mileycyrus,None,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,89,49.74538848,1200,181500000,181.5,1300000,1.3,913600,0.9136,1600000000,1.6,0.0051,0.51,0.00716253444,0.716253444,False,63.96645885,1.743767,1.93108671,94.36619718
20,neymarjr,Brazil,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,90,50.93689586,5300,177100000,177.1,2700000,2.7,1900000,1.9,14100000000,14.1,0.0109,1.09,0.0152456239,1.524562394,False,63.0488864,4.137855295,4.127224536,95.77464789
21,katyperry,None,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,92,50.21062836,2000,170300000,170.3,715000,0.715,265100,0.2651,1500000000,1.5,0.0016,0.16,0.00419847328,0.419847328,False,61.58498862,0.865857123,0.605831125,98.5915493
22,kevinhart4real,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,88,47.07415823,8200,152000000,152,522000,0.522,115200,0.1152,4300000000,4.3,0.0008,0.08,0.00343421053,0.343421053,False,57.33454439,0.639494107,0.302915562,92.95774648
23,zendaya,United States,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,87,50.85146006,3500,150700000,150.7,5800000,5.8,4800000,4.8,20600000000,20.6,0.0317,3.17,0.0384870604,3.848706038,False,57.01339302,11.02161563,12.00302916,91.54929577
24,iamcardib,United States,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,75,41.88912245,1600,140500000,140.5,3100000,3.1,1500000,1.5,5000000000,5,0.011,1.1,0.0220640569,2.206405694,False,54.3930226,6.157371549,4.165088981,74.64788732
25,ddlovato,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,88,46.68434957,80,139100000,139.1,1100000,1.1,363400,0.3634,91300000,0.0913,0.0027,0.27,0.00790797987,0.790797987,False,54.01859257,1.964556611,1.022340023,92.95774648
26,badgalriri,United States,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,88,47.72280983,4800,135300000,135.3,3700000,3.7,0,0,17900000000,17.9,0.0002,0.02,0.0273466371,2.73466371,False,52.98296541,7.721991528,0.0757288906,92.95774648
27,kingjames,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,86,46.10202692,2300,130900000,130.9,2100000,2.1,1200000,1.2,4900000000,4.9,0.0092,0.92,0.0160427807,1.604278075,False,51.74684619,4.37396103,3.483528966,90.14084507
28,theellenshow,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,87,44.74957629,10000,125100000,125.1,420500,0.4205,81700,0.0817,4200000000,4.2,0.0007,0.07,0.00336131095,0.336131095,False,50.05235806,0.617902361,0.265051117,91.54929577
29,realmadrid,Spain,11-50,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,90,46.68230101,6900,123400000,123.4,996200,0.9962,588300,0.5883,6800000000,6.8,0.0048,0.48,0.00807293355,0.807293355,False,49.54078758,2.013413385,1.817493374,95.77464789
30,champagnepapi,Netherlands,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,85,44.73201035,5200,119600000,119.6,1700000,1.7,1300000,1.3,9000000000,9,0.011,1.1,0.0142140468,1.421404682,False,48.37131806,3.832317827,4.165088981,88.73239437
31,chrisbrownofficial,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,86,43.87572959,7300,118500000,118.5,463200,0.4632,255900,0.2559,3400000000,3.4,0.0022,0.22,0.00390886076,0.390886076,False,48.0258463,0.780078294,0.833017796,90.14084507
32,fcbarcelona,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,90,46.01676658,10000,111400000,111.4,1200000,1.2,706300,0.7063,11600000000,11.6,0.0064,0.64,0.0107719928,1.077199282,False,45.71573087,2.81283373,2.423324498,95.77464789
33,billieeilish,None,11-50,Q4 팔로워 높음,Q4 반응 높음,참여율 상위 10%,73,44.77411021,690,105200000,105.2,8500000,8.5,5200000,5.2,5900000000,5.9,0.0502,5.02,0.0807984791,8.079847909,False,43.57467466,23.55361496,19.00795153,71.83098592
34,dualipa,United Kingdom,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,74,37.06439674,1300,85900000,85.9,2100000,2.1,1100000,1.1,2600000000,2.6,0.0126,1.26,0.0244470314,2.444703143,False,35.99665125,6.863172386,4.770920106,73.23943662
35,gal_gadot,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,85,41.53131518,1700,85600000,85.6,1400000,1.4,586500,0.5865,2300000000,2.3,0.0069,0.69,0.0163551402,1.635514019,False,35.86584341,4.466477149,2.612646725,88.73239437
36,vindiesel,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,88,42.64014918,1800,82300000,82.3,1400000,1.4,482300,0.4823,2500000000,2.5,0.006,0.6,0.0170109356,1.70109356,False,34.39591782,4.660713787,2.271866717,92.95774648
37,nasa,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,88,42.88742429,3600,81300000,81.3,1200000,1.2,1200000,1.2,4200000000,4.2,0.0153,1.53,0.0147601476,1.47601476,False,33.93883144,3.99406458,5.793260129,92.95774648
38,priyankachopra,United States,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,85,41.45241044,3600,81100000,81.1,1600000,1.6,802900,0.8029,5600000000,5.6,0.01,1,0.01972873,1.972872996,False,33.84673976,5.465683182,3.786444529,88.73239437
39,lalalalisa_m,None,11-50,Q4 팔로워 높음,Q4 반응 높음,참여율 상위 10%,70,42.42648795,870,80900000,80.9,5800000,5.8,7200000,7.2,5100000000,5.1,0.09,9,0.0716934487,7.16934487,False,33.7544207,20.85684331,34.07800076,67.6056338
40,Shakira,None,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,88,41.48931708,2000,76100000,76.1,975100,0.9751,304700,0.3047,1900000000,1.9,0.0041,0.41,0.0128134034,1.281340342,False,31.46748935,3.417468532,1.552442257,92.95774648
41,snoopdogg,None,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,86,39.5198305,10000,75300000,75.3,203700,0.2037,125800,0.1258,2000000000,2,0.0017,0.17,0.00270517928,0.270517928,False,31.07235541,0.42356613,0.64369557,90.14084507
42,gigihadid,United States,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,85,42.64237808,3300,75300000,75.3,2500000,2.5,1900000,1.9,8200000000,8.2,0.0256,2.56,0.0332005312,3.320053121,False,31.07235541,9.455826017,9.693297993,88.73239437
43,davidbeckham,United States,11-50,Q4 팔로워 높음,Q2 반응 중하,일반 계정,86,40.62076756,1500,74900000,74.9,1200000,1.2,340900,0.3409,1900000000,1.9,0.0046,0.46,0.0160213618,1.602136182,False,30.8732114,4.367617067,1.741764483,90.14084507
44,shraddhakapoor,None,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,81,38.85044193,1900,73900000,73.9,1600000,1.6,859900,0.8599,3000000000,3,0.0117,1.17,0.0216508796,2.165087957,False,30.37066081,6.034994689,4.430140098,83.09859155
45,victoriassecret,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,88,40.1159157,2900,73200000,73.2,147000,0.147,29800,0.0298,423500000,0.4235,0.0004,0.04,0.00200819672,0.200819672,False,30.01481257,0.217130485,0.151457781,92.95774648
46,k.mbappe,None,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,86,42.66761653,1200,72700000,72.7,2500000,2.5,1600000,1.6,2800000000,2.8,0.0216,2.16,0.0343878955,3.438789546,False,29.75854563,9.807505267,8.178720182,90.14084507
47,nehakakkar,India,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,84,39.49249279,2300,70400000,70.4,1500000,1.5,370100,0.3701,3500000000,3.5,0.0054,0.54,0.0213068182,2.130681818,False,28.55655308,5.933088934,2.044680045,87.32394366
48,nba,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,87,39.59776216,12900,70100000,70.1,370800,0.3708,196900,0.1969,4800000000,4.8,0.0028,0.28,0.00528958631,0.528958631,False,28.39688365,1.189028222,1.060204468,91.54929577
49,shawnmendes,Canada,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,83,42.38619116,2500,69900000,69.9,3500000,3.5,2000000,2,8800000000,8.8,0.0287,2.87,0.0500715308,5.007153076,False,28.29005729,14.45275974,10.8670958,85.91549296
50,jennierubyjane,None,11-50,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,76,43.69225118,860,68900000,68.9,5100000,5.1,5700000,5.7,4400000000,4.4,0.0836,8.36,0.0740203193,7.40203193,False,27.75129868,21.54602703,31.65467626,76.05633803
51,narendramodi,India,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,85,42.72592923,540,68900000,68.9,2900000,2.9,2000000,2,1600000000,1.6,0.0301,3.01,0.0420899855,4.208998549,False,27.75129868,12.08874731,11.39719803,88.73239437
52,aliaabhatt,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,82,40.11719086,1800,68700000,68.7,1800000,1.8,2100000,2.1,3300000000,3.3,0.0314,3.14,0.0262008734,2.620087336,False,27.64260907,7.382633717,11.88943582,84.50704225
53,deepikapadukone,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,83,39.84439138,260,68400000,68.4,1600000,1.6,1500000,1.5,419000000,0.419,0.0223,2.23,0.0233918129,2.339181287,False,27.47897992,6.55063268,8.443771299,85.91549296
54,tomholland2013,None,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,77,45.84912738,1200,67700000,67.7,5400000,5.4,7300000,7.3,6600000000,6.6,0.1083,10.83,0.0797636632,7.976366322,False,27.0943705,23.24711823,41.00719424,77.46478873
55,ronaldinho,Brazil,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,78,35.51783907,2900,67700000,67.7,872900,0.8729,325700,0.3257,2600000000,2.6,0.0049,0.49,0.0128936484,1.289364845,False,27.0943705,3.441235891,1.855357819,78.87323944
56,emmawatson,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,87,40.76217492,340,67300000,67.3,1900000,1.9,0,0,639000000,0.639,0.0001,0.01,0.0282317979,2.823179792,False,26.87280422,7.984162713,0.0378644453,91.54929577
57,bts.bighitofficial,Uruguay,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,78,41.77867497,1200,66900000,66.9,4100000,4.1,3600000,3.6,4900000000,4.9,0.054,5.4,0.0612855007,6.128550075,False,26.64991712,17.77416726,20.44680045,78.87323944
58,katrinakaif,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,85,40.71673569,1000,66300000,66.3,1700000,1.7,1500000,1.5,1700000000,1.7,0.0225,2.25,0.0256410256,2.564102564,False,26.3130752,7.216815329,8.519500189,88.73239437
59,marvel,Turkey,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,82,36.70855583,7000,66200000,66.2,332300,0.3323,339000,0.339,2300000000,2.3,0.0051,0.51,0.00501963746,0.501963746,False,26.25663866,1.109073476,1.93108671,84.50704225
60,justintimberlake,United States,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,87,39.31454903,780,65900000,65.9,600400,0.6004,189400,0.1894,470700000,0.4707,0.003,0.3,0.0091107739,0.91107739,False,26.08681611,2.320805927,1.135933359,91.54929577
61,camila_cabello,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,77,36.81970149,2900,65000000,65,1900000,1.9,1400000,1.4,5400000000,5.4,0.0219,2.19,0.0292307692,2.923076923,False,25.5726708,8.280042837,8.292313518,77.46478873
62,willsmith,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,82,37.35033173,1400,63900000,63.9,1400000,1.4,0,0,1900000000,1.9,0.0002,0.02,0.0219092332,2.190923318,False,24.93451534,6.111515102,0.0757288906,84.50704225
63,raffinagita1717,Indonesia,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,83,36.93151646,17500,63500000,63.5,386900,0.3869,366600,0.3666,6800000000,6.8,0.0058,0.58,0.00609291339,0.609291339,False,24.69973152,1.426961497,2.196137827,85.91549296
64,anitta,United States,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,82,36.994718,5100,63100000,63.1,855500,0.8555,426200,0.4262,4400000000,4.4,0.0069,0.69,0.0135578447,1.355784469,False,24.46346407,3.637960726,2.612646725,84.50704225
65,sooyaaa__,None,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,82,46.22258888,830,62900000,62.9,4500000,4.5,5900000,5.9,3800000000,3.8,0.0943,9.43,0.0715421304,7.154213037,False,24.34476809,20.81202512,35.7061719,84.50704225
66,maluma,Colombia,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,84,38.59130144,8200,62800000,62.8,1200000,1.2,696300,0.6963,9800000000,9.8,0.0112,1.12,0.0191082803,1.910828025,False,24.2852785,5.281915405,4.240817872,87.32394366
67,akshaykumar,None,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,85,39.37550674,1900,62800000,62.8,1500000,1.5,624900,0.6249,2900000000,2.9,0.0101,1.01,0.0238853503,2.388535032,False,24.2852785,6.696810974,3.824308974,88.73239437
68,jacquelinef143,India,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,85,38.97056268,2400,62700000,62.7,1100000,1.1,718800,0.7188,2800000000,2.8,0.0115,1.15,0.0175438596,1.754385965,False,24.22569411,4.818557792,4.354411208,88.73239437
69,psg,France,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,86,38.28532366,10000,61900000,61.9,500500,0.5005,322200,0.3222,5000000000,5,0.0052,0.52,0.00808562197,0.808562197,False,23.74556937,2.017171502,1.968951155,90.14084507
70,roses_are_rosie,None,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,82,46.43649324,820,61800000,61.8,4600000,4.6,6000000,6,3800000000,3.8,0.0972,9.72,0.074433657,7.443365696,False,23.68511794,21.66845136,36.80424082,84.50704225
71,manchesterunited,United Kingdom,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,85,37.25159111,9900,59600000,59.6,381800,0.3818,241600,0.2416,3800000000,3.8,0.0041,0.41,0.00640604027,0.640604027,False,22.32984204,1.519704922,1.552442257,88.73239437
72,anushkasharma,None,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,85,40.22222784,1200,59500000,59.5,1900000,1.9,1400000,1.4,2200000000,2.2,0.0234,2.34,0.0319327731,3.193277311,False,22.26705579,9.08033533,8.860280197,88.73239437
73,whinderssonnunes,Brazil,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,79,35.79212402,2700,58700000,58.7,1600000,1.6,323100,0.3231,4400000000,4.4,0.0058,0.58,0.0272572402,2.72572402,False,21.76093368,7.695513525,2.196137827,80.28169014
74,9gag,United States,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,86,37.90618573,10000,58100000,58.1,672600,0.6726,248600,0.2486,6700000000,6.7,0.0044,0.44,0.0115765921,1.157659208,False,21.37679468,3.051143807,1.666035593,90.14084507
75,marcelotwelve,Brazil,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,86,38.12261705,2700,58100000,58.1,690900,0.6909,448300,0.4483,1900000000,1.9,0.0078,0.78,0.0118915663,1.189156627,False,21.37679468,3.144434374,2.953426732,90.14084507
76,milliebobbybrown,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,80,43.8041914,280,57600000,57.6,4000000,4,5000000,5,1100000000,1.1,0.0863,8.63,0.0694444444,6.944444444,False,21.05363622,20.19072242,32.67701628,81.69014085
77,karimbenzema,Spain,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,42,16.97718823,2000,56900000,56.9,878500,0.8785,918900,0.9189,1800000000,1.8,0.0162,1.62,0.0154393673,1.543936731,False,20.59647,4.195239138,6.134040136,28.16901408
78,chrishemsworth,Australia,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,86,42.24299016,880,55900000,55.9,2800000,2.8,2100000,2.1,2500000000,2.5,0.0369,3.69,0.0500894454,5.008944544,False,19.93352355,14.4580658,13.97198031,90.14084507
79,karolg,India,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,83,44.85922093,3300,55600000,55.6,3100000,3.1,5700000,5.7,10100000000,10.1,0.1025,10.25,0.0557553957,5.575539568,False,19.73232557,16.13623417,38.81105642,85.91549296
80,paulpogba,France,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,80,35.72347919,1300,55200000,55.2,1400000,1.4,462600,0.4626,1800000000,1.8,0.0085,0.85,0.0253623188,2.536231884,False,19.46236627,7.134266609,3.218477849,81.69014085
81,iamzlatanibrahimovic,None,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,86,39.18828758,870,55100000,55.1,1500000,1.5,837100,0.8371,1300000000,1.3,0.0153,1.53,0.0272232305,2.722323049,False,19.39457079,7.685440365,5.793260129,90.14084507
82,leonardodicaprio,None,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,86,36.86826696,1700,54600000,54.6,395500,0.3955,107600,0.1076,669300000,0.6693,0.002,0.2,0.00724358974,0.724358974,False,19.05373706,1.767774351,0.757288906,90.14084507
83,juventus,None,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,87,37.10079167,10000,54500000,54.5,194800,0.1948,135500,0.1355,1900000000,1.9,0.0025,0.25,0.00357431193,0.357431193,False,18.98519589,0.680990013,0.946611132,91.54929577
84,zacefron,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,86,43.97203103,660,54500000,54.5,2300000,2.3,4400000,4.4,1500000000,1.5,0.0818,8.18,0.0422018349,4.220183486,False,18.98519589,12.12187539,30.97311624,90.14084507
85,bellahadid,United Kingdom,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,79,35.3571886,3200,54100000,54.1,1100000,1.1,1100000,1.1,3600000000,3.6,0.0206,2.06,0.0203327172,2.033271719,False,18.70976775,5.644575021,7.800075729,80.28169014
86,tatawerneck,Brazil,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,86,37.70590875,5600,53900000,53.9,959800,0.9598,266500,0.2665,5400000000,5.4,0.0051,0.51,0.0178070501,1.780705009,False,18.57128908,4.896510803,1.93108671,90.14084507
87,beingsalmankhan,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,76,33.79155076,1200,53500000,53.5,1400000,1.4,693900,0.6939,1600000000,1.6,0.0133,1.33,0.0261682243,2.61682243,False,18.2927835,7.372963561,5.035971223,76.05633803
88,robertdowneyjr,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,86,41.33481764,420,53400000,53.4,3000000,3,1100000,1.1,1300000000,1.3,0.0205,2.05,0.0561797753,5.617977528,False,18.22283175,16.26192896,7.762211284,90.14084507
89,sunnyleone,None,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,84,36.40780011,4600,53400000,53.4,764000,0.764,301300,0.3013,3500000000,3.5,0.0057,0.57,0.0143071161,1.43071161,False,18.22283175,3.859883534,2.158273381,87.32394366
90,ladygaga,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,83,37.02454968,3600,53200000,53.2,1400000,1.4,531600,0.5316,5100000000,5.1,0.0102,1.02,0.0263157895,2.631578947,False,18.0825344,7.416670123,3.862173419,85.91549296
91,dishapatani,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,74,33.31090864,2100,53000000,53,1600000,1.6,971700,0.9717,3400000000,3.4,0.0185,1.85,0.0301886792,3.018867925,False,17.94170862,8.563761228,7.004922378,73.23943662
92,sergioramos,None,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,87,38.54259828,2200,52800000,52.8,1100000,1.1,557900,0.5579,2500000000,2.5,0.0106,1.06,0.0208333333,2.083333333,False,17.80035042,5.792849916,4.0136312,91.54929577
93,jbalvin,None,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,87,38.00408099,10000,52800000,52.8,878000,0.878,340500,0.3405,8800000000,8.8,0.0066,0.66,0.0166287879,1.662878788,False,17.80035042,4.547527438,2.499053389,91.54929577
94,mosalah,None,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,22,8.079304041,840,52500000,52.5,1800000,1.8,1100000,1.1,1500000000,1.5,0.0218,2.18,0.0342857143,3.428571429,False,17.58730596,9.777240756,8.254449072,0
95,ayutingting92,Indonesia,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,85,35.61155174,10000,52400000,52.4,147300,0.1473,56300,0.0563,1500000000,1.5,0.0011,0.11,0.0028110687,0.28110687,False,17.51602053,0.454928967,0.416508898,88.73239437
96,433,Netherlands,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,79,34.27831254,10300,51200000,51.2,863200,0.8632,774200,0.7742,8900000000,8.9,0.0152,1.52,0.016859375,1.6859375,False,16.64982271,4.615823839,5.755395683,80.28169014
97,hudabeauty,United States,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,82,33.86660697,2400,50800000,50.8,186400,0.1864,16800,0.0168,453600000,0.4536,0.0004,0.04,0.00366929134,0.366929134,False,16.35657257,0.709121472,0.151457781,84.50704225
98,adele,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,84,43.57356462,420,50700000,50.7,4700000,4.7,1900000,1.9,2000000000,2,0.0382,3.82,0.0927021696,9.270216963,False,16.28289925,27.07930723,14.4642181,87.32394366
99,michelleobama,None,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,85,36.74862985,600,50700000,50.7,700500,0.7005,611200,0.6112,421700000,0.4217,0.0122,1.22,0.013816568,1.381656805,False,16.28289925,3.714590653,4.619462325,88.73239437
100,kritisanon,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,76,32.51401755,2700,50200000,50.2,897200,0.8972,604400,0.6044,2400000000,2.4,0.0121,1.21,0.01787251,1.787250996,False,15.91233923,4.915899021,4.58159788,76.05633803
101,jamesrodriguez10,Colombia,101-200,Q2 팔로워 중하,Q3 반응 중상,팔로워 중위 이하·영향력 점수 높음,86,37.88035947,1100,49900000,49.9,1400000,1.4,363900,0.3639,1500000000,1.5,0.0075,0.75,0.0280561122,2.805611222,False,15.68822747,7.932127279,2.839833396,90.14084507
102,krisjenner,United States,101-200,Q2 팔로워 중하,Q1 반응 낮음,일반 계정,80,33.43008291,6400,49700000,49.7,356800,0.3568,452900,0.4529,2300000000,2.3,0.0091,0.91,0.00717907445,0.717907445,False,15.53806983,1.7486659,3.445664521,81.69014085
103,thv,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,83,71.56858021,60,49300000,49.3,15400000,15.4,12600000,12.6,987400000,0.9874,0.258,25.8,0.312373225,31.23732252,False,15.23593324,92.14253615,97.69026884,85.91549296
104,lelepons,United States,101-200,Q2 팔로워 중하,Q4 반응 높음,일반 계정,81,38.40838588,2500,49200000,49.2,2400000,2.4,1700000,1.7,6100000000,6.1,0.0355,3.55,0.0487804878,4.87804878,False,15.16001605,14.07037244,13.44187808,83.09859155
105,charlidamelio,None,101-200,Q2 팔로워 중하,Q4 반응 높음,참여율 상위 10%,80,40.46494035,150,49100000,49.1,4200000,4.2,1600000,1.6,654400000,0.6544,0.0328,3.28,0.0855397149,8.553971487,False,15.08394441,24.95789696,12.41953805,81.69014085
106,gucci,Italy,101-200,Q2 팔로워 중하,Q1 반응 낮음,팔로워 중위 이하·영향력 점수 높음,86,35.46593649,8900,49000000,49,115100,0.1151,72400,0.0724,1000000000,1,0.0015,0.15,0.00234897959,0.234897959,False,15.00771767,0.318065194,0.567966679,90.14084507
107,prillylatuconsina96,Indonesia,101-200,Q2 팔로워 중하,Q1 반응 낮음,일반 계정,84,34.91905032,6500,48900000,48.9,372400,0.3724,131800,0.1318,2400000000,2.4,0.0027,0.27,0.00761554192,0.761554192,False,14.93133522,1.877940935,1.022340023,87.32394366
108,louisvuitton,France,101-200,Q2 팔로워 중하,Q1 반응 낮음,일반 계정,82,33.41686867,6500,48700000,48.7,127500,0.1275,40500,0.0405,824000000,0.824,0.0008,0.08,0.00261806982,0.261806982,False,14.77810057,0.397765629,0.302915562,84.50704225
109,paulodybala,None,101-200,Q2 팔로워 중하,Q4 반응 높음,일반 계정,85,38.97458469,1300,48300000,48.3,1800000,1.8,1400000,1.4,2300000000,2.3,0.0288,2.88,0.0372670807,3.726708075,False,14.46973429,10.6602762,10.90496024,88.73239437
110,blackpinkofficial,None,101-200,Q2 팔로워 중하,Q4 반응 높음,일반 계정,85,39.35932925,1400,48200000,48.2,2100000,2.1,1300000,1.3,3000000000,3,0.0277,2.77,0.0435684647,4.356846473,False,14.39224369,12.52665039,10.48845134,88.73239437
111,dovecameron,United States,101-200,Q2 팔로워 중하,Q4 반응 높음,일반 계정,85,38.01188911,170,48200000,48.2,1600000,1.6,841400,0.8414,283000000,0.283,0.0175,1.75,0.0331950207,3.319502075,False,14.39224369,9.454193902,6.626277925,88.73239437
112,garethbale11,None,101-200,Q2 팔로워 중하,Q2 반응 중하,팔로워 중위 이하·영향력 점수 높음,86,37.02029848,980,48100000,48.1,763000,0.763,681300,0.6813,753100000,0.7531,0.0143,1.43,0.0158627859,1.586278586,False,14.31459216,4.320649279,5.414615676,90.14084507
